 0, 0       ,0      ,0  ,5  
 1, 10   ,10     ,4  ,5  
 3, 4500   ,15     ,1  ,7  
 6, 4000   ,20     ,6  ,5  
 8, 10000  ,30   ,5  ,8  
11, 18000   ,50   ,10 ,5  
14, 45000   ,40    ,4  ,7  
15, 75000   ,750    ,6  ,5  
18, 40000   ,35     ,3  ,6  
21, 136000   ,250    ,5  ,5  
24, 250000  ,200    ,12 ,8  
27, 175000   ,200    ,10 ,7  
32, 580000   ,295    ,20 ,6  
36, 280000   ,380    ,15 ,5  
40, 328000   ,280    ,8  ,5  
45, 240000  ,340    ,15 ,7  
49, 760000   ,455    ,15 ,5  
54, 1900000   ,855    ,20 ,7  
58, 900000   ,500    ,20 ,5  
62, 1080000   ,600    ,21 ,5  
66, 520000  ,1000    ,15 ,5  
70, 1060000  ,1300    ,15 ,8  
74, 800000  ,1050    ,20 ,6  
78, 1240000   ,2000    ,20 ,7  
82, 1400000  ,2100    ,30 ,8  
